"","gene_id","gene_symbol"
"529","ENSMUSG00000003072.15","Atp5d"
"530","ENSMUSG00000003099.11","Ppp5c"
"531","ENSMUSG00000003119.14","Cdk12"
"532","ENSMUSG00000003123.15","Lipe"
"533","ENSMUSG00000003131.7","Pafah1b2"
"534","ENSMUSG00000003134.10","Tbc1d8"
"535","ENSMUSG00000003135.15","Cnot11"
"536","ENSMUSG00000003153.10","Slc2a3"
"537","ENSMUSG00000003154.15","Foxj2"
"538","ENSMUSG00000003161.15","Sri"
"539","ENSMUSG00000003166.20","Dgcr2"
"540","ENSMUSG00000003184.15","Irf3"
"541","ENSMUSG00000003190.12","Bcl2l12"
"542","ENSMUSG00000003198.10","Zfp959"
"543","ENSMUSG00000003199.16","Mpnd"
"544","ENSMUSG00000003200.10","Sh3gl1"
"545","ENSMUSG00000003206.7","Ebi3"
"546","ENSMUSG00000003208.9","Yju2"
"547","ENSMUSG00000003226.7","Ranbp2"
"548","ENSMUSG00000003227.4","Edar"
"549","ENSMUSG00000003228.9","Grk5"
"550","ENSMUSG00000003233.12","Dvl3"
"551","ENSMUSG00000003234.16","Abcf3"
"552","ENSMUSG00000003235.13","Eif2b5"
"553","ENSMUSG00000003269.17","Cyth2"
"554","ENSMUSG00000003271.17","Sult2b1"
"555","ENSMUSG00000003273.14","Car11"
"556","ENSMUSG00000003279.17","Dlgap1"
"557","ENSMUSG00000003282.9","Plag1"
"558","ENSMUSG00000003283.15","Hck"
"559","ENSMUSG00000003299.10","Mrpl4"
"560","ENSMUSG00000003308.15","Keap1"
"561","ENSMUSG00000003309.14","Ap1m2"
"562","ENSMUSG00000003316.14","Glg1"
"563","ENSMUSG00000003341.9","Atp8b3"
"564","ENSMUSG00000003344.14","Btbd2"
"565","ENSMUSG00000003345.16","Csnk1g2"
"566","ENSMUSG00000003346.14","Abhd17a"
"567","ENSMUSG00000003348.10","Mob3a"
"568","ENSMUSG00000003352.14","Cacnb3"
"569","ENSMUSG00000003354.6","Ccdc65"
"570","ENSMUSG00000003355.7","Fkbp11"
"571","ENSMUSG00000003360.15","Ddx23"
"572","ENSMUSG00000003363.15","Pld3"
"573","ENSMUSG00000003378.9","Grik5"
"574","ENSMUSG00000003379.7","Cd79a"
"575","ENSMUSG00000003380.11","Rabac1"
"576","ENSMUSG00000003382.18","Etv3"
"577","ENSMUSG00000003402.14","Prkcsh"
"578","ENSMUSG00000003410.8","Elavl3"
"579","ENSMUSG00000003411.10","Rab3b"
"580","ENSMUSG00000003418.11","St8sia6"
"581","ENSMUSG00000003420.8","Fcgrt"
